location,date,origin,entries
Rennes les champs libres,2010-05-02,rdc retour,8
Rennes les champs libres,2010-05-04,rdc retour,166
Rennes les champs libres,2010-05-05,rdc retour,156
Rennes les champs libres,2010-05-06,rdc retour,99
Rennes les champs libres,2010-05-07,rdc retour,101
Rennes les champs libres,2010-05-09,rdc retour,4
Rennes les champs libres,2010-05-11,rdc retour,191
Rennes les champs libres,2010-05-12,rdc retour,152
Rennes les champs libres,2010-05-13,rdc retour,2
Rennes les champs libres,2010-05-14,rdc retour,189
Rennes les champs libres,2010-05-15,rdc retour,102
Rennes les champs libres,2010-05-16,rdc retour,1
Rennes les champs libres,2010-05-18,rdc retour,144
Rennes les champs libres,2010-05-19,rdc retour,180
Rennes les champs libres,2010-05-20,rdc retour,73
Rennes les champs libres,2010-05-21,rdc retour,82
Rennes les champs libres,2010-05-22,rdc retour,103
Rennes les champs libres,2010-05-23,rdc retour,3
Rennes les champs libres,2010-05-25,rdc retour,94
Rennes les champs libres,2010-05-26,rdc retour,163
Rennes les champs libres,2010-05-27,rdc retour,118
Rennes les champs libres,2010-05-28,rdc retour,108
Rennes les champs libres,2010-05-29,rdc retour,131
Rennes les champs libres,2010-05-30,rdc retour,2
Rennes les champs libres,2010-06-01,rdc retour,101
Rennes les champs libres,2010-06-02,rdc retour,109
Rennes les champs libres,2010-06-03,rdc retour,75
Rennes les champs libres,2010-06-04,rdc retour,63
Rennes les champs libres,2010-06-05,rdc retour,114
Rennes les champs libres,2010-06-06,rdc retour,2
Rennes les champs libres,2010-06-08,rdc retour,127
Rennes les champs libres,2010-06-09,rdc retour,167
Rennes les champs libres,2010-06-10,rdc retour,66
Rennes les champs libres,2010-06-11,rdc retour,84
Rennes les champs libres,2010-06-12,rdc retour,167
Rennes les champs libres,2010-06-13,rdc retour,3
Rennes les champs libres,2010-06-15,rdc retour,129
Rennes les champs libres,2010-06-16,rdc retour,152
Rennes les champs libres,2010-06-17,rdc retour,80
Rennes les champs libres,2010-06-18,rdc retour,92
Rennes les champs libres,2010-06-19,rdc retour,130
Rennes les champs libres,2010-06-20,rdc retour,9
Rennes les champs libres,2010-06-22,rdc retour,106
Rennes les champs libres,2010-06-23,rdc retour,142
Rennes les champs libres,2010-06-24,rdc retour,84
Rennes les champs libres,2010-06-25,rdc retour,90
Rennes les champs libres,2010-06-26,rdc retour,91
Rennes les champs libres,2010-06-27,rdc retour,3
Rennes les champs libres,2010-06-29,rdc retour,129
Rennes les champs libres,2010-06-30,rdc retour,97
Rennes les champs libres,2010-07-01,rdc retour,90
Rennes les champs libres,2010-07-02,rdc retour,83
Rennes les champs libres,2010-07-03,rdc retour,133
Rennes les champs libres,2010-07-04,rdc retour,1
Rennes les champs libres,2010-07-06,rdc retour,168
Rennes les champs libres,2010-07-07,rdc retour,92
Rennes les champs libres,2010-07-08,rdc retour,103
Rennes les champs libres,2010-07-09,rdc retour,104
Rennes les champs libres,2010-07-10,rdc retour,101
Rennes les champs libres,2010-07-11,rdc retour,1
Rennes les champs libres,2010-07-13,rdc retour,136
Rennes les champs libres,2010-07-15,rdc retour,111
Rennes les champs libres,2010-07-16,rdc retour,96
Rennes les champs libres,2010-07-17,rdc retour,99
Rennes les champs libres,2010-07-18,rdc retour,4
Rennes les champs libres,2010-07-20,rdc retour,126
Rennes les champs libres,2010-07-21,rdc retour,92
Rennes les champs libres,2010-07-22,rdc retour,83
Rennes les champs libres,2010-07-23,rdc retour,93
Rennes les champs libres,2010-07-24,rdc retour,77
Rennes les champs libres,2010-07-25,rdc retour,2
Rennes les champs libres,2010-07-27,rdc retour,138
Rennes les champs libres,2010-07-28,rdc retour,79
Rennes les champs libres,2010-07-29,rdc retour,63
Rennes les champs libres,2010-07-30,rdc retour,87
Rennes les champs libres,2010-07-31,rdc retour,90
Rennes les champs libres,2010-08-01,rdc retour,3
Rennes les champs libres,2010-08-03,rdc retour,137
Rennes les champs libres,2010-08-04,rdc retour,107
Rennes les champs libres,2010-08-05,rdc retour,52
Rennes les champs libres,2010-08-06,rdc retour,92
Rennes les champs libres,2010-08-07,rdc retour,60
Rennes les champs libres,2010-08-08,rdc retour,1
Rennes les champs libres,2010-08-10,rdc retour,110
Rennes les champs libres,2010-08-11,rdc retour,88
Rennes les champs libres,2010-08-12,rdc retour,78
Rennes les champs libres,2010-08-13,rdc retour,75
Rennes les champs libres,2010-08-14,rdc retour,126
Rennes les champs libres,2010-08-15,rdc retour,1
Rennes les champs libres,2010-08-17,rdc retour,139
Rennes les champs libres,2010-08-18,rdc retour,96
Rennes les champs libres,2010-08-19,rdc retour,79
Rennes les champs libres,2010-08-20,rdc retour,93
Rennes les champs libres,2010-08-21,rdc retour,90
Rennes les champs libres,2010-08-22,rdc retour,5
Rennes les champs libres,2010-08-24,rdc retour,150
Rennes les champs libres,2010-08-25,rdc retour,142
Rennes les champs libres,2010-08-26,rdc retour,143
Rennes les champs libres,2010-08-27,rdc retour,131
Rennes les champs libres,2010-08-28,rdc retour,125
